estimator,group,scenario,seed,rms_angle_deg,rms_roll_deg,rms_pitch_deg,rms_yaw_deg,max_angle_deg,ss_rms_angle_deg,conv_time,bias_rmse_dps,diverged,ns_per_step,bytes
Complementary,attitude,gyro_bias,3,11.4113,4.76405,2.14677,10.3748,21.15,8.57233,-1,3.96604,0,371.543,272
Madgwick,attitude,gyro_bias,3,17.4223,9.04699,1.25459,15.0579,70.3418,18.9904,846.48,3.96604,1,111.216,272
Madgwick-Gated,attitude,gyro_bias,3,5.11763,2.25366,2.26952,4.00133,19.9335,6.73342,-1,0.430148,0,138.127,272
Mahony,attitude,gyro_bias,3,18.527,6.2563,2.95466,17.4462,77.1775,19.2944,31.21,1.27648,1,129.81,312
Mahony-Gated,attitude,gyro_bias,3,2.49127,0.717856,0.614754,2.30598,13.2727,1.31542,56.59,0.345735,0,133.591,312
MEKF,attitude,gyro_bias,3,2.35668,0.806958,0.64387,2.11546,14.7219,2.99178,2.48,0.18606,0,2055.74,608
InvariantEKF,attitude,gyro_bias,3,2.35522,0.807566,0.641267,2.11424,14.703,2.98931,2.49,0.185931,0,1933.74,608
TRIAD,attitude,gyro_bias,3,19.5938,9.36919,1.45187,17.1769,90.594,21.598,-1,3.96604,1,127.963,120
QUEST,attitude,gyro_bias,3,19.2282,8.67985,1.43781,17.1819,89.8801,21.1825,-1,3.96604,1,214.82,120
Complementary,attitude,mag_disturbance,1,5.86565,2.26349,1.13723,5.30522,18.0967,6.64061,-1,0.621873,0,366.687,272
Madgwick,attitude,mag_disturbance,1,18.9909,9.04676,1.48752,16.8649,71.2455,18.9769,-1,0.621873,1,106.828,272
Madgwick-Gated,attitude,mag_disturbance,1,4.80641,2.06905,1.83626,3.93755,17.1482,6.18383,-1,0.187176,0,136.432,272
Mahony,attitude,mag_disturbance,1,20.4416,6.33839,3.17678,19.3844,76.9421,19.299,27.53,1.35064,1,130.543,312
Mahony-Gated,attitude,mag_disturbance,1,1.85176,0.553134,0.516704,1.69326,5.73661,1.76443,27.58,0.138114,0,132.155,312
MEKF,attitude,mag_disturbance,1,2.47454,0.750432,0.564429,2.28671,14.6991,2.53783,0.01,0.186774,0,2059.08,608
InvariantEKF,attitude,mag_disturbance,1,2.50982,0.758976,0.568825,2.32084,14.7408,2.57499,0.01,0.187028,0,1902.15,608
TRIAD,attitude,mag_disturbance,1,20.9764,9.3689,1.4505,18.738,88.6078,21.5959,-1,0.621873,1,129.092,120
QUEST,attitude,mag_disturbance,1,20.6375,8.68486,1.43746,18.7376,88.2401,21.1799,-1,0.621873,1,221.618,120
Complementary,attitude,mag_disturbance,2,7.3174,3.1556,1.19653,6.44779,19.3831,8.76572,-1,1.06417,0,356.887,272
Madgwick,attitude,mag_disturbance,2,18.9853,9.05961,1.47492,16.8455,70.6356,19.0803,-1,1.06417,1,109.452,272
Madgwick-Gated,attitude,mag_disturbance,2,7.42886,3.11976,3.28448,5.85364,31.3209,9.37922,-1,0.266544,0,136.274,272
Mahony,attitude,mag_disturbance,2,20.2803,6.31668,3.15154,19.2155,74.7213,19.3962,28.17,1.35009,1,130.021,312
Mahony-Gated,attitude,mag_disturbance,2,2.8527,0.852123,0.806032,2.58381,11.2147,3.00174,28.25,0.169028,0,133.167,312
MEKF,attitude,mag_disturbance,2,3.27291,0.977145,0.832719,2.99851,15.9538,3.6685,0,0.199017,0,2033.42,608
InvariantEKF,attitude,mag_disturbance,2,3.2963,0.979673,0.834838,3.02256,15.956,3.68013,0,0.199388,0,1886.13,608
TRIAD,attitude,mag_disturbance,2,20.9672,9.36866,1.45155,18.727,85.3673,21.6017,-1,1.06417,1,128.452,120
QUEST,attitude,mag_disturbance,2,20.6279,8.68454,1.43808,18.7264,84.9803,21.1861,-1,1.06417,1,215.198,120
Complementary,attitude,mag_disturbance,3,6.96102,2.91952,1.19969,6.1467,22.9197,8.3257,112.99,1.39263,0,354.705,272
Madgwick,attitude,mag_disturbance,3,19.0528,9.08106,1.46754,16.8949,72.3811,18.8146,-1,1.39263,1,109.384,272
Madgwick-Gated,attitude,mag_disturbance,3,5.10772,2.25159,2.27417,3.98666,19.9345,6.73361,-1,0.198354,0,133.144,272
Mahony,attitude,mag_disturbance,3,20.4933,6.3322,3.19018,19.449,77.1749,19.2935,15.06,1.34438,1,129.054,312
Mahony-Gated,attitude,mag_disturbance,3,2.21466,0.560866,0.666191,2.03673,9.02647,1.31516,15.08,0.149613,0,131.948,312
MEKF,attitude,mag_disturbance,3,2.8348,0.822365,0.650941,2.63038,16.5697,2.99178,0.01,0.19351,0,2028.83,608
InvariantEKF,attitude,mag_disturbance,3,2.84821,0.823106,0.64808,2.6452,16.9643,2.98931,0.01,0.193842,0,1901.42,608
TRIAD,attitude,mag_disturbance,3,20.9776,9.36919,1.45187,18.7395,90.594,21.598,-1,1.39263,1,129.183,120
QUEST,attitude,mag_disturbance,3,20.6389,8.68603,1.43907,18.739,89.8801,21.1825,-1,1.39263,1,214.92,120
Complementary,attitude,vibration,1,5.85877,2.27953,1.17114,5.27961,17.7117,6.65699,-1,0.621873,0,381.193,272
Madgwick,attitude,vibration,1,14.0347,8.335,1.6703,11.4211,49.8106,15.3597,-1,0.621873,0,110.824,272
Madgwick-Gated,attitude,vibration,1,2.43293,1.47027,1.37275,1.35698,8.86845,2.67862,108.87,0.163488,0,137.95,272
Mahony,attitude,vibration,1,18.2925,6.24302,2.94765,17.1729,75.7293,19.2195,89.59,1.23714,1,130.052,312
Mahony-Gated,attitude,vibration,1,1.70036,0.568098,0.50469,1.52324,5.51585,1.90646,28.72,0.136165,0,132.035,312
MEKF,attitude,vibration,1,1.74472,0.598571,0.442572,1.57346,18.1948,1.96821,1.78,0.122054,0,2027.79,608
InvariantEKF,attitude,vibration,1,1.74895,0.601342,0.444384,1.57623,16.3637,1.98177,1.78,0.122451,0,1906.47,608
TRIAD,attitude,vibration,1,27.1981,11.2068,6.23382,24.1862,179.796,29.287,-1,0.621873,1,128.512,120
QUEST,attitude,vibration,1,25.8306,9.07173,4.92337,24.2172,179.822,27.8646,-1,0.621873,1,225.017,120
Complementary,attitude,vibration,2,7.31739,3.16188,1.27724,6.4277,19.6179,8.83021,-1,1.06417,0,385.36,272
Madgwick,attitude,vibration,2,14.2386,8.41675,1.64119,11.5984,49.2559,15.8023,-1,1.06417,0,111.781,272
Madgwick-Gated,attitude,vibration,2,4.27916,2.14894,2.26996,2.89051,14.3451,4.581,590.54,0.197905,0,137.48,272
Mahony,attitude,vibration,2,18.1287,6.19407,2.93048,17.0255,74.3556,19.2702,53.5,1.23093,1,129.633,312
Mahony-Gated,attitude,vibration,2,3.52477,1.04822,1.01851,3.18577,14.6273,3.94044,53.55,0.186073,0,132.214,312
MEKF,attitude,vibration,2,2.76112,0.886627,0.759028,2.48671,16.2908,3.2749,4.82,0.20381,0,2051.32,608
InvariantEKF,attitude,vibration,2,2.76799,0.887935,0.762369,2.49283,16.3094,3.28379,4.82,0.205307,0,1905.26,608
TRIAD,attitude,vibration,2,27.2965,11.1935,6.22903,24.3022,179.832,29.3498,-1,1.06417,1,128.899,120
QUEST,attitude,vibration,2,25.9307,9.1064,4.93982,24.3348,179.952,27.9399,-1,1.06417,1,223.981,120
Complementary,attitude,vibration,3,6.55049,2.93554,1.27276,5.64916,15.189,8.34077,112.84,1.39263,0,384.207,272
Madgwick,attitude,vibration,3,16.0576,8.44041,1.97536,13.7758,53.5293,18.4293,-1,1.39263,1,111.85,272
Madgwick-Gated,attitude,vibration,3,2.95833,1.38631,1.69225,1.98992,14.234,3.31283,88.9,0.158132,0,137.92,272
Mahony,attitude,vibration,3,18.4155,6.24471,2.9693,17.3259,76.7191,19.249,70.51,1.23393,1,129.995,312
Mahony-Gated,attitude,vibration,3,2.19541,0.655456,0.744213,1.95802,9.16656,2.11569,27.91,0.141518,0,132.138,312
MEKF,attitude,vibration,3,1.90925,0.636663,0.50331,1.72528,17.1245,2.30119,26.04,0.134676,0,2067.64,608
InvariantEKF,attitude,vibration,3,1.90623,0.636523,0.500887,1.72263,17.0747,2.29649,26.03,0.134733,0,1924.03,608
TRIAD,attitude,vibration,3,27.2756,11.2045,6.23886,24.2731,179.578,29.4215,-1,1.39263,1,129.746,120
QUEST,attitude,vibration,3,25.912,9.10866,4.93937,24.2967,179.453,28.0121,-1,1.39263,1,226.457,120
Complementary,attitude,high_dynamics,1,5.90911,2.28143,1.14381,5.34533,17.9454,6.6502,-1,0.621873,0,367.509,272
Madgwick,attitude,high_dynamics,1,18.392,9.39764,1.41898,16.0103,81.5928,19.5367,-1,0.621873,1,110.996,272
Madgwick-Gated,attitude,high_dynamics,1,4.91151,2.59832,2.42455,3.39956,13.1982,5.71274,-1,0.230018,0,128.594,272
Mahony,attitude,high_dynamics,1,18.8081,6.42504,3.00994,17.6886,77.9194,19.5868,-1,1.26585,1,130.118,312
Mahony-Gated,attitude,high_dynamics,1,6.42999,2.14782,1.31221,5.85954,21.8767,8.43322,49.86,0.251067,0,130.098,312
MEKF,attitude,high_dynamics,1,3.23678,1.12555,0.741601,2.96027,11.8859,3.78691,195.08,0.205848,0,2053.56,608
InvariantEKF,attitude,high_dynamics,1,3.1937,1.11327,0.729151,2.92075,11.9928,3.71641,194.74,0.205716,0,1915.04,608
TRIAD,attitude,high_dynamics,1,20.9889,9.79524,1.58887,18.5742,135.688,22.9948,-1,0.621873,1,127.942,120
QUEST,attitude,high_dynamics,1,20.6338,9.1229,1.54081,18.5829,135.38,22.5931,-1,0.621873,1,216.013,120
Complementary,attitude,high_dynamics,2,7.31779,3.16868,1.20086,6.44177,19.2276,8.76406,-1,1.06417,0,364.006,272
Madgwick,attitude,high_dynamics,2,18.4014,9.41403,1.41083,16.0038,80.8435,19.6323,-1,1.06417,1,111.194,272
