estimator,group,profile,scenario,seed,rmse_cells,rmse_min,rmse_mean,rmse_max,max_cell_err,ss_rmse_cells,diverged,ns_per_step,bytes,messages
Decentralized-UKF,pack,evtol,current_bias,2,0.014442,0.00589443,0.00784772,0.0136288,0.0642646,0.0150234,0,16759.5,57312,0
Decentralized-ReducedEKF,pack,evtol,current_bias,2,0.0173504,0.014819,0.00618768,0.0203103,0.0939456,0.0131648,0,4105.71,51264,0
Decentralized-EKF,pack,evtol,current_bias,3,0.015191,0.00905644,0.0089049,0.0111349,0.0615902,0.0166393,0,5720.23,52032,0
BarDelta,pack,evtol,current_bias,3,0.0102159,0.0121036,0.00946256,0.00818115,0.034222,0.0123869,0,812.336,5616,12
Federated,pack,evtol,current_bias,3,0.010037,0.0118159,0.0093027,0.00826714,0.0334743,0.0119575,0,8448.02,53472,183
Consensus,pack,evtol,current_bias,3,0.00769227,0.00833123,0.00619145,0.00779201,0.0351354,0.00522298,0,9333.25,9224,216
InfoFusion,pack,evtol,current_bias,3,0.00996432,0.0117759,0.00922196,0.00817884,0.0334743,0.0118496,0,1927.79,5544,12
Decentralized-UKF,pack,evtol,current_bias,3,0.0160533,0.00935551,0.00918907,0.0125773,0.0660794,0.0168271,0,17111,57312,0
Decentralized-ReducedEKF,pack,evtol,current_bias,3,0.0206826,0.0204173,0.00497458,0.0219849,0.117058,0.0163928,0,4238.22,51264,0
Decentralized-EKF,pack,evtol,weak_cell,1,0.0108521,0.00658517,0.00279081,0.00309243,0.041219,0.0126873,0,5736.85,52032,0
BarDelta,pack,evtol,weak_cell,1,0.00501325,0.00637011,0.00337112,0.00316114,0.0294989,0.00476019,0,812.404,5616,12
Federated,pack,evtol,weak_cell,1,0.00544155,0.00713377,0.00400735,0.00456471,0.0294321,0.00511897,0,8580.53,53472,183
Consensus,pack,evtol,weak_cell,1,0.00693013,0.00554118,0.00296066,0.00705261,0.0302897,0.00653625,0,9334.41,9224,216
InfoFusion,pack,evtol,weak_cell,1,0.00546655,0.00718258,0.00404578,0.00456672,0.0294321,0.00515795,0,1880.95,5544,12
Decentralized-UKF,pack,evtol,weak_cell,1,0.0123784,0.0122674,0.00239527,0.0055849,0.0646754,0.0130936,0,16697.1,57312,0
Decentralized-ReducedEKF,pack,evtol,weak_cell,1,0.0221626,0.0560957,0.00320404,0.0138735,0.213685,0.0160327,0,4076.66,51264,0
Decentralized-EKF,pack,evtol,weak_cell,2,0.0128127,0.0129433,0.00533121,0.00837874,0.0495373,0.0130441,0,5653.73,52032,0
BarDelta,pack,evtol,weak_cell,2,0.00704562,0.00511795,0.00510007,0.0104677,0.0313316,0.00756864,0,814.193,5616,12
Federated,pack,evtol,weak_cell,2,0.00561696,0.00360779,0.00272895,0.00802342,0.0313017,0.00519046,0,8365.11,53472,183
Consensus,pack,evtol,weak_cell,2,0.00635649,0.00503651,0.0040144,0.00501919,0.0285962,0.00614405,0,9301.55,9224,216
InfoFusion,pack,evtol,weak_cell,2,0.00560127,0.00360831,0.00269802,0.00798431,0.0313017,0.00516807,0,1891.38,5544,12
Decentralized-UKF,pack,evtol,weak_cell,2,0.017127,0.0254993,0.00703368,0.0110936,0.0714891,0.0153636,0,16832.4,57312,0
Decentralized-ReducedEKF,pack,evtol,weak_cell,2,0.0238365,0.0502777,0.0104209,0.015237,0.198804,0.0181795,0,4134.5,51264,0
Decentralized-EKF,pack,evtol,weak_cell,3,0.0149774,0.0191256,0.00607468,0.00958487,0.0544957,0.0152861,0,5650.13,52032,0
BarDelta,pack,evtol,weak_cell,3,0.00794727,0.00532177,0.00664874,0.00829361,0.0304996,0.00869899,0,808.015,5616,12
Federated,pack,evtol,weak_cell,3,0.00599488,0.004487,0.00422486,0.00579033,0.0294152,0.00564468,0,8368.33,53472,183
Consensus,pack,evtol,weak_cell,3,0.00599349,0.00583267,0.00344925,0.00444344,0.0261446,0.00511262,0,9455.54,9224,216
InfoFusion,pack,evtol,weak_cell,3,0.00594808,0.00453517,0.0041533,0.00569923,0.0294152,0.00557339,0,1988.65,5544,12
Decentralized-UKF,pack,evtol,weak_cell,3,0.040842,0.131611,0.0151724,0.00656171,0.253901,0.0312331,0,17182.2,57312,0
Decentralized-ReducedEKF,pack,evtol,weak_cell,3,0.0277999,0.0594888,0.0138377,0.0154879,0.217884,0.021625,0,4191.64,51264,0
Decentralized-EKF,pack,evtol,noise_step,1,0.0112653,0.00925779,0.00323552,0.00438515,0.0358299,0.0133801,0,5859.92,52032,0
BarDelta,pack,evtol,noise_step,1,0.00498355,0.00406347,0.00371659,0.00361436,0.0303832,0.0055452,0,808.258,5616,12
Federated,pack,evtol,noise_step,1,0.0046023,0.00367958,0.00307195,0.00378297,0.0303108,0.00451336,0,8369.37,53472,183
Consensus,pack,evtol,noise_step,1,0.00717356,0.00732509,0.00436783,0.00637848,0.0255594,0.00744365,0,9246.7,9224,216
InfoFusion,pack,evtol,noise_step,1,0.00462158,0.00369186,0.00310048,0.00379581,0.0303108,0.00454548,0,1886.78,5544,12
Decentralized-UKF,pack,evtol,noise_step,1,0.0125973,0.00806552,0.00371272,0.0059106,0.0479627,0.0141624,0,16734.2,57312,0
Decentralized-ReducedEKF,pack,evtol,noise_step,1,0.0149425,0.0155746,0.00420491,0.0138908,0.106226,0.0111972,0,4034.86,51264,0
Decentralized-EKF,pack,evtol,noise_step,2,0.0117319,0.0108442,0.00438959,0.00744189,0.0454216,0.0121298,0,5638.6,52032,0
BarDelta,pack,evtol,noise_step,2,0.00639062,0.00519812,0.00439946,0.0059991,0.0322159,0.00674724,0,807.109,5616,12
Federated,pack,evtol,noise_step,2,0.00588935,0.00358407,0.0035128,0.00544429,0.0321803,0.00613441,0,8196.44,53472,183
Consensus,pack,evtol,noise_step,2,0.00738817,0.00464399,0.00555537,0.00590692,0.0320332,0.00807954,0,9228.59,9224,216
InfoFusion,pack,evtol,noise_step,2,0.00587416,0.00358118,0.00348309,0.00540996,0.0321803,0.0061095,0,1868.78,5544,12
Decentralized-UKF,pack,evtol,noise_step,2,0.0160644,0.0215023,0.00503784,0.0108292,0.0714891,0.0147852,0,16549.5,57312,0
Decentralized-ReducedEKF,pack,evtol,noise_step,2,0.0175274,0.0151329,0.00487764,0.0150472,0.102869,0.0134584,0,4136.09,51264,0
Decentralized-EKF,pack,evtol,noise_step,3,0.0135872,0.0049972,0.00479072,0.00934464,0.0544957,0.01384,0,5691.46,52032,0
BarDelta,pack,evtol,noise_step,3,0.0068001,0.0084947,0.00539106,0.00433566,0.0315903,0.00780153,0,829.511,5616,12
Federated,pack,evtol,noise_step,3,0.00634515,0.00800138,0.0047885,0.00436262,0.0300897,0.00691156,0,8274.64,53472,183
Consensus,pack,evtol,noise_step,3,0.00612263,0.00521283,0.00358399,0.00429644,0.0261446,0.00581765,0,9208.66,9224,216
InfoFusion,pack,evtol,noise_step,3,0.00632433,0.00797284,0.00476171,0.00434003,0.0300897,0.00688602,0,1881.63,5544,12
Decentralized-UKF,pack,evtol,noise_step,3,0.0140567,0.00830349,0.00521124,0.00654794,0.050113,0.014359,0,16501.5,57312,0
Decentralized-ReducedEKF,pack,evtol,noise_step,3,0.0218411,0.0250955,0.0081221,0.01562,0.138525,0.0176643,0,4173.95,51264,0
Decentralized-EKF,pack,evtol,large_imbalance,1,0.019893,0.0238054,0.0092822,0.01035,0.0488478,0.0232893,0,5609.27,52032,0
BarDelta,pack,evtol,large_imbalance,1,0.0149811,0.021783,0.0127869,0.0098156,0.0895087,0.0144172,0,845.327,5616,12
Federated,pack,evtol,large_imbalance,1,0.0119946,0.015882,0.0106891,0.00907853,0.0893162,0.0124442,0,8379.26,53472,183
Consensus,pack,evtol,large_imbalance,1,0.0156269,0.0227386,0.0100519,0.0200094,0.0807206,0.0141309,0,9205.54,9224,216
InfoFusion,pack,evtol,large_imbalance,1,0.0120094,0.0158891,0.0107055,0.00909476,0.0893162,0.0124686,0,1896.13,5544,12
Decentralized-UKF,pack,evtol,large_imbalance,1,0.0230319,0.017522,0.0119862,0.00939487,0.0699453,0.0256095,0,16685.9,57312,0
Decentralized-ReducedEKF,pack,evtol,large_imbalance,1,0.0155285,0.0126981,0.00446802,0.0123,0.106952,0.0116811,0,4081.52,51264,0
Decentralized-EKF,pack,evtol,large_imbalance,2,0.0165446,0.0324092,0.00521823,0.0212545,0.0620492,0.0163004,0,5675.91,52032,0
BarDelta,pack,evtol,large_imbalance,2,0.0101255,0.0212186,0.00561553,0.00962481,0.0984268,0.00667462,0,839.388,5616,12
Federated,pack,evtol,large_imbalance,2,0.00803884,0.016817,0.00398192,0.00634469,0.0983222,0.00465447,0,8603.74,53472,183
Consensus,pack,evtol,large_imbalance,2,0.0135411,0.0180781,0.0105013,0.00962344,0.103542,0.013172,0,9650.85,9224,216
InfoFusion,pack,evtol,large_imbalance,2,0.0080366,0.0168237,0.00397317,0.00631735,0.0983222,0.00464346,0,1972.32,5544,12
Decentralized-UKF,pack,evtol,large_imbalance,2,0.0162099,0.0230593,0.00513836,0.018405,0.0591465,0.0163864,0,16974.9,57312,0
Decentralized-ReducedEKF,pack,evtol,large_imbalance,2,0.0173932,0.014205,0.00544095,0.010445,0.0990695,0.0128255,0,4190.36,51264,0
Decentralized-EKF,pack,evtol,large_imbalance,3,0.0157225,0.0171786,0.00542088,0.00929727,0.0724266,0.0140213,0,5635.62,52032,0
BarDelta,pack,evtol,large_imbalance,3,0.0114996,0.022274,0.00720084,0.00760565,0.0945435,0.00696455,0,816.393,5616,12
Federated,pack,evtol,large_imbalance,3,0.00829393,0.0169144,0.00525999,0.00370919,0.0944566,0.0042818,0,8269.58,53472,183
Consensus,pack,evtol,large_imbalance,3,0.0126655,0.0201973,0.00945845,0.012478,0.0862782,0.01104,0,9176.34,9224,216
InfoFusion,pack,evtol,large_imbalance,3,0.00828397,0.016876,0.00524415,0.00370077,0.0944566,0.00427636,0,1886.76,5544,12
Decentralized-UKF,pack,evtol,large_imbalance,3,0.0176787,0.0133527,0.00470571,0.00664263,0.0830089,0.0163708,0,16712.4,57312,0
Decentralized-ReducedEKF,pack,evtol,large_imbalance,3,0.0220273,0.0131106,0.00828751,0.00602087,0.140594,0.0174587,0,4101.32,51264,0
