estimator,flight,Q_true,Q_est,Q_err,soc_rmse_flight,ah_throughput
AdaptiveObserver,100,4.05204,4.80644,0.754398,0.00262362,756.196
AdaptiveObserver,101,4.04673,4.80303,0.756303,0.00271139,763.837
AdaptiveObserver,102,4.04147,4.79958,0.758105,0.00277967,771.385
AdaptiveObserver,103,4.03626,4.79613,0.759864,0.00268827,778.937
AdaptiveObserver,104,4.03107,4.79262,0.761553,0.00256698,786.509
AdaptiveObserver,105,4.02592,4.78908,0.763168,0.00285193,794.034
AdaptiveObserver,106,4.02081,4.78561,0.764798,0.00275126,801.549
AdaptiveObserver,107,4.01573,4.78214,0.766408,0.00261226,809.064
AdaptiveObserver,108,4.01061,4.77856,0.76795,0.00252819,816.654
AdaptiveObserver,109,4.00552,4.77503,0.769509,0.00242017,824.208
AdaptiveObserver,110,4.00048,4.77158,0.771101,0.00234505,831.731
AdaptiveObserver,111,3.99543,4.768,0.772571,0.00224386,839.317
AdaptiveObserver,112,3.99042,4.76445,0.774035,0.00221765,846.862
AdaptiveObserver,113,3.98546,4.76092,0.775465,0.00214719,854.362
AdaptiveObserver,114,3.98049,4.75738,0.776896,0.00204945,861.918
AdaptiveObserver,115,3.97552,4.75385,0.778326,0.00200063,869.488
AdaptiveObserver,116,3.97057,4.75033,0.779768,0.0019575,877.057
AdaptiveObserver,117,3.96564,4.74672,0.781078,0.00188298,884.607
AdaptiveObserver,118,3.96074,4.74316,0.782426,0.001879,892.151
AdaptiveObserver,119,3.95588,4.73969,0.783812,0.00189405,899.667
AdaptiveObserver,120,3.951,4.7361,0.785097,0.00187423,907.246
JointEKF,1,4.95004,5.00274,0.052692,0.00134749,7.90273
JointEKF,2,4.90434,4.96052,0.0561821,0.00112535,15.506
JointEKF,3,4.87365,4.92878,0.0551312,0.00101263,23.0697
JointEKF,4,4.84828,4.89968,0.0514031,0.00102702,30.6549
JointEKF,5,4.82621,4.87369,0.0474849,0.00112037,38.1496
JointEKF,6,4.80627,4.85128,0.045011,0.000779363,45.6697
JointEKF,7,4.78792,4.83243,0.0445072,0.000967415,53.1846
JointEKF,8,4.77063,4.81564,0.0450122,0.00108822,60.7785
JointEKF,9,4.75429,4.79777,0.0434775,0.000885144,68.3705
JointEKF,10,4.7389,4.78374,0.0448423,0.000896041,75.894
JointEKF,11,4.7242,4.7677,0.0435004,0.000889549,83.4926
JointEKF,12,4.71019,4.75211,0.041912,0.000966221,91.0033
JointEKF,13,4.69676,4.73826,0.0415003,0.000590614,98.5172
JointEKF,14,4.68371,4.72345,0.0397407,0.00103274,106.105
JointEKF,15,4.67106,4.71186,0.0408023,0.0007439,113.663
JointEKF,16,4.65885,4.69882,0.0399746,0.000806251,121.223
JointEKF,17,4.64698,4.68656,0.0395826,0.000692592,128.773
JointEKF,18,4.63541,4.67436,0.0389491,0.000806676,136.344
JointEKF,19,4.62426,4.66372,0.0394599,0.000542826,143.811
JointEKF,20,4.61327,4.65276,0.0394841,0.000939365,151.403
JointEKF,21,4.60251,4.64023,0.0377169,0.000995178,158.975
JointEKF,22,4.59198,4.63085,0.0388714,0.000685823,166.553
JointEKF,23,4.58173,4.61842,0.0366951,0.000760412,174.057
JointEKF,24,4.57167,4.60661,0.0349374,0.000961679,181.614
JointEKF,25,4.56173,4.59866,0.0369288,0.000731523,189.225
JointEKF,26,4.55203,4.58786,0.0358381,0.000701016,196.723
JointEKF,27,4.54253,4.57897,0.0364409,0.000752889,204.251
JointEKF,28,4.53314,4.56902,0.0358775,0.000720112,211.803
JointEKF,29,4.5239,4.55749,0.0335894,0.000689749,219.361
JointEKF,30,4.51476,4.54757,0.0328086,0.000730604,226.967
JointEKF,31,4.50582,4.53964,0.0338197,0.000593886,234.495
JointEKF,32,4.49706,4.53276,0.035708,0.000634682,241.991
JointEKF,33,4.48836,4.52344,0.0350763,0.000622919,249.556
JointEKF,34,4.47968,4.51493,0.0352474,0.000571179,257.186
JointEKF,35,4.47118,4.49991,0.0287237,0.00064394,264.745
JointEKF,36,4.46283,4.49405,0.0312167,0.000557675,272.267
JointEKF,37,4.45471,4.48909,0.0343872,0.000697718,279.697
JointEKF,38,4.44663,4.4802,0.033569,0.000632517,287.232
JointEKF,39,4.4386,4.47163,0.0330286,0.000475549,294.752
JointEKF,40,4.43059,4.46044,0.0298533,0.000668432,302.375
JointEKF,41,4.42264,4.44929,0.0266448,0.000589439,309.955
JointEKF,42,4.41481,4.44109,0.0262753,0.000740516,317.547
JointEKF,43,4.40711,4.43371,0.0266068,0.000645078,325.076
JointEKF,44,4.39944,4.43011,0.0306687,0.000583875,332.682
JointEKF,45,4.39187,4.42095,0.0290804,0.000835298,340.245
JointEKF,46,4.38438,4.40873,0.0243461,0.000797251,347.822
JointEKF,47,4.37699,4.40086,0.0238761,0.000912761,355.362
JointEKF,48,4.3697,4.39024,0.0205419,0.00106846,362.894
JointEKF,49,4.36242,4.38715,0.0247307,0.0011378,370.466
JointEKF,50,4.35521,4.38119,0.0259838,0.000854594,378.043
JointEKF,51,4.34807,4.37207,0.0239963,0.000781222,385.597
JointEKF,52,4.34102,4.36407,0.0230468,0.00100364,393.119
JointEKF,53,4.33403,4.35675,0.0227148,0.000807913,400.657
JointEKF,54,4.32708,4.35183,0.0247479,0.00098733,408.226
JointEKF,55,4.32022,4.34323,0.0230171,0.000993151,415.73
JointEKF,56,4.31335,4.33614,0.0227883,0.000993234,423.334
JointEKF,57,4.30655,4.32598,0.0194307,0.00129402,430.891
JointEKF,58,4.29982,4.31987,0.0200506,0.00136891,438.438
JointEKF,59,4.2932,4.31357,0.0203772,0.00100368,445.926
JointEKF,60,4.2866,4.31002,0.0234203,0.000999715,453.452
JointEKF,61,4.28,4.30067,0.0206683,0.000984548,461.061
JointEKF,62,4.27341,4.29372,0.020314,0.00112254,468.679
JointEKF,63,4.26693,4.28685,0.0199252,0.00153482,476.203
JointEKF,64,4.26046,4.28359,0.0231316,0.000981074,483.814
JointEKF,65,4.25405,4.27452,0.0204695,0.00122653,491.367
JointEKF,66,4.24764,4.27096,0.0233136,0.00138483,498.994
JointEKF,67,4.24132,4.26156,0.0202426,0.00129847,506.531
JointEKF,68,4.23505,4.25643,0.0213755,0.00152522,514.086
JointEKF,69,4.2288,4.24749,0.0186831,0.00117815,521.686
JointEKF,70,4.22256,4.24299,0.0204243,0.00123119,529.311
JointEKF,71,4.21638,4.23655,0.0201702,0.00193062,536.899
JointEKF,72,4.21027,4.23044,0.020174,0.00145428,544.458
JointEKF,73,4.20417,4.22487,0.0207002,0.00136568,552.044
JointEKF,74,4.19812,4.21823,0.0201083,0.00137692,559.592
JointEKF,75,4.19212,4.21205,0.0199316,0.00118848,567.156
JointEKF,76,4.18613,4.20401,0.0178855,0.00158863,574.751
JointEKF,77,4.18021,4.19863,0.0184236,0.00156943,582.287
JointEKF,78,4.17431,4.19318,0.0188761,0.00161653,589.864
JointEKF,79,4.16842,4.18717,0.018743,0.00139299,597.457
JointEKF,80,4.16259,4.18136,0.0187761,0.00127003,604.991
JointEKF,81,4.15681,4.17608,0.0192665,0.00131412,612.502
JointEKF,82,4.15104,4.16978,0.0187343,0.00138089,620.077
JointEKF,83,4.14528,4.1645,0.0192218,0.0012333,627.67
JointEKF,84,4.1396,4.15942,0.0198262,0.0017354,635.188
JointEKF,85,4.13386,4.15513,0.0212726,0.00140548,642.838
JointEKF,86,4.12817,4.14798,0.0198043,0.00146645,650.415
JointEKF,87,4.12258,4.14274,0.0201665,0.00146294,657.928
JointEKF,88,4.11702,4.13758,0.0205593,0.0012693,665.448
JointEKF,89,4.11148,4.13081,0.019326,0.00189014,672.993
JointEKF,90,4.106,4.12482,0.0188207,0.00142987,680.487
JointEKF,91,4.10053,4.12057,0.0200481,0.00130388,688.031
JointEKF,92,4.09505,4.11477,0.0197243,0.00130416,695.606
JointEKF,93,4.08955,4.11049,0.0209426,0.00144212,703.221
JointEKF,94,4.08409,4.10471,0.0206266,0.00140731,710.821
JointEKF,95,4.07868,4.09836,0.0196835,0.00135975,718.389
JointEKF,96,4.07329,4.09365,0.0203646,0.00149672,725.953
JointEKF,97,4.06794,4.08811,0.0201744,0.00147954,733.519
JointEKF,98,4.06263,4.08335,0.0207189,0.0013844,741.054
JointEKF,99,4.05733,4.07724,0.0199172,0.0012505,748.645
JointEKF,100,4.05204,4.07147,0.0194251,0.00145885,756.196
JointEKF,101,4.04673,4.06794,0.0212136,0.0015566,763.837
JointEKF,102,4.04147,4.06221,0.0207367,0.00152977,771.385
JointEKF,103,4.03626,4.05491,0.0186425,0.0015418,778.937
JointEKF,104,4.03107,4.05022,0.0191534,0.00136587,786.509
JointEKF,105,4.02592,4.04552,0.0196011,0.00134078,794.034
JointEKF,106,4.02081,4.04149,0.0206773,0.00144936,801.549
JointEKF,107,4.01573,4.03706,0.02133,0.00163622,809.064
JointEKF,108,4.01061,4.0325,0.0218947,0.00147419,816.654
