t,gx,gy,gz,ax,ay,az,mx,my,mz,qw,qx,qy,qz,bgx,bgy,bgz
1.03,0.000858818,-0.0219078,0.00127287,0.370497,-0.355954,-9.5783,20.0258,0.847762,44.1921,0.999804,0.0180643,0.00803877,0.000464767,0.00883228,-0.00526204,0.00334717
1.04,0.00320142,-0.0203931,0.00179955,0.405423,-0.365393,-9.5397,18.8595,0.505979,44.676,0.999806,0.0180206,0.00796411,0.000455382,0.00877403,-0.00526753,0.00333135
1.05,-0.0026093,-0.0186481,0.00398769,0.327514,-0.446165,-9.37979,20.5395,1.40978,44.4721,0.999807,0.017973,0.00788911,0.000445949,0.0088033,-0.00531563,0.0033147
1.06,-0.00497346,-0.0186758,-0.00101725,0.253678,-0.381825,-9.45481,20.9956,1.9279,44.4261,0.999809,0.0179213,0.00781378,0.000436467,0.00881803,-0.00524979,0.00329618
1.07,-0.00387039,-0.0181528,0.00116285,0.218941,-0.350011,-9.49121,19.6161,1.19385,44.2278,0.99981,0.0178657,0.00773814,0.000426935,0.00876193,-0.00524447,0.00328351
1.08,-0.00324757,-0.023259,0.00109472,0.321852,-0.402323,-9.49996,19.7799,0.848968,43.5854,0.999812,0.0178063,0.00766222,0.000417351,0.0087617,-0.00524736,0.00320374
1.09,-0.00544733,-0.020333,0.000490434,0.406957,-0.444451,-9.46318,19.6436,1.17395,44.3463,0.999814,0.017743,0.00758603,0.000407714,0.00873277,-0.00522686,0.00316876
1.1,-0.00810315,-0.021438,0.00337215,0.369729,-0.471456,-9.46026,20.306,0.921154,43.0644,0.999815,0.0176759,0.00750959,0.000398024,0.00874142,-0.0052024,0.00315091
1.11,-0.00321628,-0.0188059,-0.000946235,0.300667,-0.397623,-9.48142,20.5752,0.444739,43.5394,0.999817,0.0176051,0.00743293,0.000388279,0.0087206,-0.00526312,0.00316653
1.12,-0.00699115,-0.0193874,0.000184871,0.323848,-0.503391,-9.4133,20.0172,1.77266,43.419,0.999819,0.0175306,0.00735605,0.000378477,0.0087503,-0.00529164,0.00316114
1.13,-0.00847548,-0.0204955,0.000803689,0.380624,-0.398021,-9.35964,20.2437,1.26779,44.4312,0.999821,0.0174525,0.00727899,0.000368618,0.00871912,-0.00533849,0.00315075
1.14,-0.00548726,-0.0183636,-0.000346667,0.384859,-0.505711,-9.46626,19.5861,2.40604,43.8901,0.999823,0.0173709,0.00720176,0.0003587,0.00876118,-0.00536475,0.0031766
1.15,-0.00890222,-0.0200793,0.00167472,0.340397,-0.446724,-9.45972,20.1019,2.27944,44.61,0.999825,0.0172858,0.00712439,0.000348723,0.00880225,-0.00534717,0.00312023
1.16,-0.00947839,-0.0194672,0.00228823,0.370007,-0.38729,-9.49619,19.5551,0.937412,44.4052,0.999827,0.0171973,0.00704689,0.000338684,0.00883946,-0.00535143,0.00311863
1.17,-0.00995867,-0.0220757,0.00151365,0.278985,-0.434049,-9.41636,20.3145,0.483891,43.6434,0.999829,0.0171055,0.00696928,0.000328583,0.00892038,-0.00535217,0.00314495
1.18,-0.0124663,-0.018659,-0.00207567,0.285008,-0.332687,-9.51504,20.2335,1.75368,44.385,0.999832,0.0170104,0.00689158,0.000318418,0.00894938,-0.00530087,0.00318048
1.19,-0.0115413,-0.0226219,0.00428031,0.344651,-0.444213,-9.4355,19.7738,1.48458,44.166,0.999834,0.0169121,0.00681382,0.000308188,0.00895209,-0.00533275,0.00314218
1.2,-0.0130975,-0.0186444,0.00158479,0.279022,-0.439055,-9.52274,20.9771,1.73557,43.5565,0.999836,0.0168108,0.00673602,0.000297893,0.008928,-0.00539482,0.00319431
1.21,-0.0122423,-0.0171602,-0.000663544,0.293282,-0.382986,-9.46283,20.8898,0.970872,43.3207,0.999838,0.0167065,0.00665819,0.00028753,0.00898752,-0.00536152,0.00321146
1.22,-0.0131082,-0.0202708,-0.00177781,0.299946,-0.339529,-9.46654,20.4082,1.20112,43.8375,0.999841,0.0165992,0.00658037,0.000277099,0.00903389,-0.00538808,0.00317615
1.23,-0.0135017,-0.0191311,0.000661986,0.360171,-0.401695,-9.48059,19.8157,2.36396,43.3914,0.999843,0.0164892,0.00650256,0.000266598,0.00904914,-0.00536719,0.00319936
1.24,-0.0108188,-0.02198,-0.000530198,0.347843,-0.378144,-9.42597,19.9392,2.17502,44.4029,0.999845,0.0163764,0.00642479,0.000256026,0.00911107,-0.0053553,0.00319578
