plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
spm,SuperTwisting-SMO,observers,evtol,nominal,2,0.0102126,0.00925955,0.00735262,0.0405331,0.0113836,0,0,0.00270445,132.957,4280,nan,nan,nan,double
spm,HGO,observers,evtol,nominal,2,0.00664353,0.00566529,0.00477745,0.0246538,0.00833525,0,0,0.00103358,339.148,4680,nan,nan,nan,double
spm,ESO,observers,evtol,nominal,2,0.00981692,0.0092609,0.00717136,0.0395191,0.0109825,0,0,0.00100748,1081.42,4784,nan,nan,nan,double
spm,UIO,observers,evtol,nominal,2,0.00752414,0.00453444,0.0057081,0.023656,0.00667188,0,0,0.001067,463.277,5072,nan,nan,nan,double
spm,DOB,observers,evtol,nominal,2,0.00861313,0.00658012,0.00611368,0.0358609,0.0108769,0,0,0.00101543,815.861,4784,nan,nan,nan,double
spm,AdaptiveObserver,observers,evtol,nominal,2,0.00666734,0.0044611,0.00488842,0.0226681,0.00742149,0,0,0.000964766,689.7,4864,-0.000325539,nan,nan,double
spm,IntervalObserver,observers,evtol,nominal,2,0.00664353,0.00566529,0.00477745,0.0246538,0.00833525,0,0,0.00103358,670.619,9024,nan,0,0.339216,double
spm,JointEKF,soh,evtol,nominal,2,0.0286585,0.0243028,0.0264132,0.0546842,-0.0148272,0,0,0.000826552,1156.6,8752,0.0365071,nan,nan,double
spm,JointUKF,soh,evtol,nominal,2,0.0247759,0.0149151,0.0208409,0.0577172,-0.00406327,0.4,0,0.00112761,3011.59,9600,0.179288,nan,nan,double
spm,DualEKF,soh,evtol,nominal,2,0.0168556,0.00804834,0.0133423,0.0330876,0.0108233,0,0,0.000850645,1158.46,4752,0.405533,nan,nan,double
spm,DualUKF,soh,evtol,nominal,2,0.0441796,0.0373044,0.0404242,0.0645679,-0.0127375,0.4,0,0.00116006,2206.49,5512,0.876673,nan,nan,double
spm,RLS-EKF,soh,evtol,nominal,2,0.0389572,0.0405312,0.0372715,0.0438288,-0.0399482,0,0,0.00108836,451.249,8904,nan,nan,nan,double
spm,AWTLS,soh,evtol,nominal,2,0.0290571,0.025766,0.027228,0.0395913,-0.0165394,0,0,0.000996006,462.717,8776,0.238147,nan,nan,double
