z,ocv,docv_dz,dUdT,x_n,U_n,y_p,U_p
0.1720,3.473999,0.812474,-0.00015284,0.19099,0.220403,0.74410,3.694403
0.1730,3.474809,0.806999,-0.00015259,0.19185,0.220059,0.74353,3.694868
0.1740,3.475614,0.801984,-0.00015234,0.19271,0.219719,0.74296,3.695333
0.1750,3.476413,0.797412,-0.00015209,0.19356,0.219384,0.74238,3.695798
0.1760,3.477209,0.793267,-0.00015185,0.19442,0.219054,0.74181,3.696263
0.1770,3.478000,0.789533,-0.00015160,0.19528,0.218728,0.74124,3.696728
0.1780,3.478788,0.786197,-0.00015135,0.19614,0.218405,0.74067,3.697193
0.1790,3.479572,0.783244,-0.00015111,0.19700,0.218086,0.74009,3.697658
0.1800,3.480354,0.780659,-0.00015086,0.19785,0.217769,0.73952,3.698123
0.1810,3.481134,0.778431,-0.00015061,0.19871,0.217454,0.73895,3.698588
0.1820,3.481911,0.776545,-0.00015037,0.19957,0.217142,0.73838,3.699054
0.1830,3.482687,0.774991,-0.00015012,0.20043,0.216832,0.73780,3.699519
0.1840,3.483461,0.773755,-0.00014988,0.20129,0.216523,0.73723,3.699984
0.1850,3.484235,0.772826,-0.00014963,0.20214,0.216215,0.73666,3.700450
0.1860,3.485007,0.772194,-0.00014939,0.20300,0.215908,0.73608,3.700915
0.1870,3.485779,0.771848,-0.00014915,0.20386,0.215602,0.73551,3.701381
0.1880,3.486551,0.771777,-0.00014890,0.20472,0.215295,0.73494,3.701846
0.1890,3.487323,0.771972,-0.00014866,0.20558,0.214989,0.73437,3.702312
0.1900,3.488095,0.772423,-0.00014841,0.20643,0.214682,0.73379,3.702777
0.1910,3.488868,0.773121,-0.00014817,0.20729,0.214375,0.73322,3.703243
0.1920,3.489641,0.774057,-0.00014793,0.20815,0.214068,0.73265,3.703709
0.1930,3.490416,0.775222,-0.00014769,0.20901,0.213759,0.73208,3.704175
0.1940,3.491192,0.776608,-0.00014745,0.20986,0.213449,0.73150,3.704641
0.1950,3.491969,0.778208,-0.00014720,0.21072,0.213137,0.73093,3.705106
0.1960,3.492748,0.780012,-0.00014696,0.21158,0.212824,0.73036,3.705572
0.1970,3.493529,0.782013,-0.00014672,0.21244,0.212509,0.72979,3.706038
0.1980,3.494312,0.784205,-0.00014648,0.21330,0.212192,0.72921,3.706505
0.1990,3.495098,0.786580,-0.00014624,0.21415,0.211873,0.72864,3.706971
0.2000,3.495886,0.789130,-0.00014600,0.21501,0.211551,0.72807,3.707437
0.2010,3.496676,0.791849,-0.00014576,0.21587,0.211227,0.72750,3.707903
0.2020,3.497469,0.794730,-0.00014552,0.21673,0.210900,0.72692,3.708370
0.2030,3.498266,0.797766,-0.00014528,0.21759,0.210570,0.72635,3.708836
0.2040,3.499065,0.800952,-0.00014504,0.21844,0.210237,0.72578,3.709302
0.2050,3.499868,0.804281,-0.00014480,0.21930,0.209901,0.72521,3.709769
0.2060,3.500674,0.807745,-0.00014457,0.22016,0.209562,0.72463,3.710236
0.2070,3.501483,0.811341,-0.00014433,0.22102,0.209219,0.72406,3.710702
0.2080,3.502296,0.815060,-0.00014409,0.22188,0.208873,0.72349,3.711169
0.2090,3.503113,0.818898,-0.00014385,0.22273,0.208523,0.72292,3.711636
0.2100,3.503934,0.822848,-0.00014362,0.22359,0.208169,0.72234,3.712103
0.2110,3.504759,0.826905,-0.00014338,0.22445,0.207811,0.72177,3.712570
0.2120,3.505588,0.831062,-0.00014314,0.22531,0.207449,0.72120,3.713037
0.2130,3.506421,0.835315,-0.00014291,0.22617,0.207083,0.72062,3.713504
0.2140,3.507259,0.839656,-0.00014267,0.22702,0.206713,0.72005,3.713971
0.2150,3.508100,0.844081,-0.00014243,0.22788,0.206338,0.71948,3.714439
0.2160,3.508947,0.848583,-0.00014220,0.22874,0.205959,0.71891,3.714906
0.2170,3.509798,0.853158,-0.00014196,0.22960,0.205576,0.71833,3.715373
0.2180,3.510653,0.857798,-0.00014173,0.23046,0.205188,0.71776,3.715841
0.2190,3.511513,0.862500,-0.00014149,0.23131,0.204795,0.71719,3.716309
0.2200,3.512378,0.867256,-0.00014126,0.23217,0.204398,0.71662,3.716776
0.2210,3.513248,0.872061,-0.00014103,0.23303,0.203996,0.71604,3.717244
0.2220,3.514122,0.876910,-0.00014079,0.23389,0.203590,0.71547,3.717712
0.2230,3.515002,0.881796,-0.00014056,0.23475,0.203179,0.71490,3.718180
0.2240,3.515886,0.886715,-0.00014033,0.23560,0.202763,0.71433,3.718648
0.2250,3.516775,0.891660,-0.00014009,0.23646,0.202342,0.71375,3.719117
0.2260,3.517669,0.896625,-0.00013986,0.23732,0.201916,0.71318,3.719585
0.2270,3.518568,0.901605,-0.00013963,0.23818,0.201485,0.71261,3.720054
0.2280,3.519472,0.906594,-0.00013940,0.23904,0.201050,0.71204,3.720522
0.2290,3.520382,0.911586,-0.00013917,0.23989,0.200609,0.71146,3.720991
0.2300,3.521296,0.916575,-0.00013894,0.24075,0.200164,0.71089,3.721460
0.2310,3.522215,0.921556,-0.00013870,0.24161,0.199714,0.71032,3.721929
0.2320,3.523139,0.926523,-0.00013847,0.24247,0.199259,0.70975,3.722398
0.2330,3.524068,0.931469,-0.00013824,0.24333,0.198799,0.70917,3.722867
0.2340,3.525002,0.936389,-0.00013801,0.24418,0.198335,0.70860,3.723336
0.2350,3.525940,0.941278,-0.00013778,0.24504,0.197865,0.70803,3.723806
0.2360,3.526884,0.946129,-0.00013755,0.24590,0.197391,0.70746,3.724275
0.2370,3.527833,0.950936,-0.00013733,0.24676,0.196912,0.70688,3.724745
0.2380,3.528786,0.955695,-0.00013710,0.24762,0.196429,0.70631,3.725215
0.2390,3.529744,0.960398,-0.00013687,0.24847,0.195941,0.70574,3.725685
0.2400,3.530707,0.965041,-0.00013664,0.24933,0.195448,0.70517,3.726155
0.2410,3.531674,0.969617,-0.00013641,0.25019,0.194951,0.70459,3.726625
0.2420,3.532646,0.974121,-0.00013618,0.25105,0.194450,0.70402,3.727096
0.2430,3.533622,0.978548,-0.00013596,0.25191,0.193944,0.70345,3.727566
0.2440,3.534603,0.982891,-0.00013573,0.25276,0.193434,0.70287,3.728037
0.2450,3.535588,0.987146,-0.00013550,0.25362,0.192920,0.70230,3.728508
0.2460,3.536577,0.991307,-0.00013528,0.25448,0.192402,0.70173,3.728979
0.2470,3.537571,0.995369,-0.00013505,0.25534,0.191879,0.70116,3.729450
0.2480,3.538568,0.999327,-0.00013483,0.25620,0.191353,0.70058,3.729921
0.2490,3.539569,1.003175,-0.00013460,0.25705,0.190824,0.70001,3.730393
0.2500,3.540574,1.006909,-0.00013438,0.25791,0.190290,0.69944,3.730865
0.2510,3.541583,1.010524,-0.00013415,0.25877,0.189754,0.69887,3.731337
0.2520,3.542595,1.014015,-0.00013393,0.25963,0.189213,0.69829,3.731809
0.2530,3.543611,1.017377,-0.00013370,0.26049,0.188670,0.69772,3.732281
0.2540,3.544630,1.020606,-0.00013348,0.26134,0.188123,0.69715,3.732753
0.2550,3.545652,1.023698,-0.00013325,0.26220,0.187574,0.69658,3.733226
0.2560,3.546677,1.026649,-0.00013303,0.26306,0.187022,0.69600,3.733699
0.2570,3.547705,1.029455,-0.00013281,0.26392,0.186467,0.69543,3.734172
0.2580,3.548736,1.032113,-0.00013258,0.26478,0.185909,0.69486,3.734645
0.2590,3.549770,1.034617,-0.00013236,0.26563,0.185349,0.69429,3.735119
0.2600,3.550805,1.036966,-0.00013214,0.26649,0.184787,0.69371,3.735593
0.2610,3.551844,1.039157,-0.00013192,0.26735,0.184223,0.69314,3.736066
0.2620,3.552884,1.041185,-0.00013170,0.26821,0.183657,0.69257,3.736541
0.2630,3.553926,1.043050,-0.00013148,0.26907,0.183089,0.69200,3.737015
0.2640,3.554970,1.044747,-0.00013125,0.26992,0.182520,0.69142,3.737490
0.2650,3.556015,1.046275,-0.00013103,0.27078,0.181949,0.69085,3.737964
0.2660,3.557062,1.047633,-0.00013081,0.27164,0.181377,0.69028,3.738440
0.2670,3.558111,1.048817,-0.00013059,0.27250,0.180804,0.68971,3.738915
0.2680,3.559160,1.049828,-0.00013037,0.27336,0.180231,0.68913,3.739390
0.2690,3.560210,1.050663,-0.00013015,0.27421,0.179656,0.68856,3.739866
0.2700,3.561261,1.051321,-0.00012993,0.27507,0.179081,0.68799,3.740342
0.2710,3.562313,1.051802,-0.00012972,0.27593,0.178506,0.68741,3.740819
0.2720,3.563365,1.052105,-0.00012950,0.27679,0.177931,0.68684,3.741296
0.2730,3.564417,1.052231,-0.00012928,0.27765,0.177356,0.68627,3.741772
0.2740,3.565469,1.052179,-0.00012906,0.27850,0.176781,0.68570,3.742250
0.2750,3.566521,1.051948,-0.00012884,0.27936,0.176206,0.68512,3.742727
0.2760,3.567573,1.051541,-0.00012863,0.28022,0.175632,0.68455,3.743205
0.2770,3.568624,1.050958,-0.00012841,0.28108,0.175059,0.68398,3.743683
0.2780,3.569675,1.050199,-0.00012819,0.28194,0.174487,0.68341,3.744162
0.2790,3.570725,1.049267,-0.00012798,0.28279,0.173916,0.68283,3.744640
0.2800,3.571773,1.048162,-0.00012776,0.28365,0.173346,0.68226,3.745120
0.2810,3.572821,1.046886,-0.00012754,0.28451,0.172778,0.68169,3.745599
0.2820,3.573867,1.045442,-0.00012733,0.28537,0.172212,0.68112,3.746079
0.2830,3.574912,1.043831,-0.00012711,0.28623,0.171647,0.68054,3.746559
0.2840,3.575955,1.042057,-0.00012690,0.28708,0.171085,0.67997,3.747039
0.2850,3.576996,1.040121,-0.00012668,0.28794,0.170524,0.67940,3.747520
0.2860,3.578035,1.038027,-0.00012647,0.28880,0.169967,0.67883,3.748001
0.2870,3.579072,1.035777,-0.00012626,0.28966,0.169411,0.67825,3.748483
0.2880,3.580106,1.033375,-0.00012604,0.29052,0.168859,0.67768,3.748965
0.2890,3.581138,1.030825,-0.00012583,0.29137,0.168309,0.67711,3.749447
0.2900,3.582168,1.028130,-0.00012562,0.29223,0.167762,0.67654,3.749930
0.2910,3.583195,1.025294,-0.00012540,0.29309,0.167219,0.67596,3.750413
0.2920,3.584218,1.022320,-0.00012519,0.29395,0.166678,0.67539,3.750897
0.2930,3.585239,1.019213,-0.00012498,0.29481,0.166141,0.67482,3.751381
0.2940,3.586257,1.015977,-0.00012477,0.29566,0.165608,0.67425,3.751865
0.2950,3.587271,1.012617,-0.00012455,0.29652,0.165079,0.67367,3.752350
0.2960,3.588282,1.009136,-0.00012434,0.29738,0.164553,0.67310,3.752835
0.2970,3.589289,1.005540,-0.00012413,0.29824,0.164032,0.67253,3.753321
0.2980,3.590293,1.001834,-0.00012392,0.29910,0.163514,0.67196,3.753807
0.2990,3.591293,0.998021,-0.00012371,0.29995,0.163001,0.67138,3.754294
0.3000,3.592289,0.994106,-0.00012350,0.30081,0.162492,0.67081,3.754781
0.3010,3.593281,0.990096,-0.00012329,0.30167,0.161988,0.67024,3.755269
0.3020,3.594269,0.985994,-0.00012308,0.30253,0.161488,0.66966,3.755757
0.3030,3.595253,0.981805,-0.00012287,0.30339,0.160993,0.66909,3.756246
0.3040,3.596233,0.977536,-0.00012266,0.30424,0.160502,0.66852,3.756735
0.3050,3.597208,0.973189,-0.00012245,0.30510,0.160017,0.66795,3.757225
0.3060,3.598179,0.968772,-0.00012225,0.30596,0.159536,0.66737,3.757715
0.3070,3.599146,0.964288,-0.00012204,0.30682,0.159060,0.66680,3.758206
0.3080,3.600108,0.959743,-0.00012183,0.30768,0.158590,0.66623,3.758698
0.3090,3.601065,0.955143,-0.00012162,0.30853,0.158124,0.66566,3.759190
0.3100,3.602018,0.950491,-0.00012142,0.30939,0.157664,0.66508,3.759682
0.3110,3.602966,0.945792,-0.00012121,0.31025,0.157209,0.66451,3.760175
0.3120,3.603910,0.941053,-0.00012100,0.31111,0.156760,0.66394,3.760669
0.3130,3.604848,0.936278,-0.00012080,0.31197,0.156316,0.66337,3.761164
0.3140,3.605782,0.931471,-0.00012059,0.31282,0.155877,0.66279,3.761659
0.3150,3.606711,0.926638,-0.00012038,0.31368,0.155444,0.66222,3.762155
0.3160,3.607635,0.921784,-0.00012018,0.31454,0.155016,0.66165,3.762651
0.3170,3.608555,0.916912,-0.00011997,0.31540,0.154594,0.66108,3.763148
0.3180,3.609469,0.912028,-0.00011977,0.31625,0.154177,0.66050,3.763646
0.3190,3.610379,0.907135,-0.00011956,0.31711,0.153766,0.65993,3.764145
0.3200,3.611283,0.902240,-0.00011936,0.31797,0.153361,0.65936,3.764644
0.3210,3.612183,0.897345,-0.00011916,0.31883,0.152961,0.65879,3.765144
0.3220,3.613078,0.892456,-0.00011895,0.31969,0.152567,0.65821,3.765645
0.3230,3.613968,0.887575,-0.00011875,0.32054,0.152178,0.65764,3.766146
0.3240,3.614853,0.882708,-0.00011855,0.32140,0.151796,0.65707,3.766649
0.3250,3.615734,0.877859,-0.00011834,0.32226,0.151418,0.65650,3.767152
0.3260,3.616609,0.873030,-0.00011814,0.32312,0.151047,0.65592,3.767656
0.3270,3.617480,0.868227,-0.00011794,0.32398,0.150681,0.65535,3.768161
0.3280,3.618345,0.863452,-0.00011774,0.32483,0.150321,0.65478,3.768666
0.3290,3.619207,0.858709,-0.00011754,0.32569,0.149966,0.65420,3.769173
0.3300,3.620063,0.854001,-0.00011734,0.32655,0.149617,0.65363,3.769680
0.3310,3.620915,0.849332,-0.00011713,0.32741,0.149274,0.65306,3.770188
0.3320,3.621762,0.844705,-0.00011693,0.32827,0.148936,0.65249,3.770697
0.3330,3.622604,0.840124,-0.00011673,0.32912,0.148604,0.65191,3.771208
0.3340,3.623442,0.835590,-0.00011653,0.32998,0.148277,0.65134,3.771719
0.3350,3.624275,0.831106,-0.00011633,0.33084,0.147955,0.65077,3.772231
0.3360,3.625104,0.826677,-0.00011613,0.33170,0.147639,0.65020,3.772744
0.3370,3.625929,0.822303,-0.00011594,0.33256,0.147329,0.64962,3.773258
0.3380,3.626749,0.817988,-0.00011574,0.33341,0.147024,0.64905,3.773773
0.3390,3.627565,0.813734,-0.00011554,0.33427,0.146724,0.64848,3.774289
0.3400,3.628376,0.809543,-0.00011534,0.33513,0.146429,0.64791,3.774806
0.3410,3.629184,0.805417,-0.00011514,0.33599,0.146140,0.64733,3.775324
0.3420,3.629987,0.801360,-0.00011494,0.33685,0.145856,0.64676,3.775843
0.3430,3.630786,0.797371,-0.00011475,0.33770,0.145577,0.64619,3.776364
0.3440,3.631582,0.793454,-0.00011455,0.33856,0.145303,0.64562,3.776885
0.3450,3.632373,0.789609,-0.00011435,0.33942,0.145034,0.64504,3.777408
0.3460,3.633161,0.785840,-0.00011416,0.34028,0.144771,0.64447,3.777932
0.3470,3.633945,0.782146,-0.00011396,0.34114,0.144512,0.64390,3.778457
0.3480,3.634725,0.778531,-0.00011377,0.34199,0.144258,0.64333,3.778983
0.3490,3.635502,0.774994,-0.00011357,0.34285,0.144008,0.64275,3.779511
0.3500,3.636275,0.771538,-0.00011338,0.34371,0.143764,0.64218,3.780039
0.3510,3.637045,0.768163,-0.00011318,0.34457,0.143524,0.64161,3.780570
0.3520,3.637812,0.764871,-0.00011299,0.34543,0.143289,0.64104,3.781101
0.3530,3.638575,0.761663,-0.00011279,0.34628,0.143059,0.64046,3.781634
0.3540,3.639335,0.758539,-0.00011260,0.34714,0.142833,0.63989,3.782168
0.3550,3.640092,0.755501,-0.00011240,0.34800,0.142611,0.63932,3.782704
0.3560,3.640846,0.752549,-0.00011221,0.34886,0.142394,0.63875,3.783241
0.3570,3.641597,0.749684,-0.00011202,0.34972,0.142182,0.63817,3.783779
0.3580,3.642346,0.746906,-0.00011182,0.35057,0.141973,0.63760,3.784319
0.3590,3.643091,0.744217,-0.00011163,0.35143,0.141769,0.63703,3.784860
0.3600,3.643834,0.741617,-0.00011144,0.35229,0.141569,0.63645,3.785403
0.3610,3.644574,0.739105,-0.00011125,0.35315,0.141373,0.63588,3.785947
0.3620,3.645312,0.736684,-0.00011106,0.35401,0.141181,0.63531,3.786494
0.3630,3.646048,0.734352,-0.00011087,0.35486,0.140993,0.63474,3.787041
0.3640,3.646781,0.732111,-0.00011067,0.35572,0.140809,0.63416,3.787590
0.3650,3.647512,0.729960,-0.00011048,0.35658,0.140629,0.63359,3.788141
0.3660,3.648241,0.727899,-0.00011029,0.35744,0.140453,0.63302,3.788694
0.3670,3.648968,0.725930,-0.00011010,0.35830,0.140280,0.63245,3.789248
