z,v_hyst,branch
0.2805,-0.005000,discharge
0.2778,-0.005000,discharge
0.2750,-0.005000,discharge
0.2722,-0.005000,discharge
0.2694,-0.005000,discharge
0.2666,-0.005000,discharge
0.2639,-0.005000,discharge
0.2611,-0.005000,discharge
0.2583,-0.005000,discharge
0.2555,-0.005000,discharge
0.2528,-0.005000,discharge
0.2500,-0.005000,discharge
0.2472,-0.005000,discharge
0.2444,-0.005000,discharge
0.2416,-0.005000,discharge
0.2389,-0.005000,discharge
0.2361,-0.005000,discharge
0.2333,-0.005000,discharge
0.2305,-0.005000,discharge
0.2278,-0.005000,discharge
0.2250,-0.005000,discharge
0.2222,-0.005000,discharge
0.2194,-0.005000,discharge
0.2166,-0.005000,discharge
0.2139,-0.005000,discharge
0.2111,-0.005000,discharge
0.2083,-0.005000,discharge
0.2055,-0.005000,discharge
0.2028,-0.005000,discharge
0.2000,-0.005000,discharge
0.1972,-0.005000,discharge
0.1944,-0.005000,discharge
0.1916,-0.005000,discharge
0.1889,-0.005000,discharge
0.1861,-0.005000,discharge
0.1833,-0.005000,discharge
0.1805,-0.005000,discharge
0.1778,-0.005000,discharge
0.1750,-0.005000,discharge
0.1722,-0.005000,discharge
0.1694,-0.005000,discharge
0.1666,-0.005000,discharge
0.1639,-0.005000,discharge
0.1611,-0.005000,discharge
0.1583,-0.005000,discharge
0.1555,-0.005000,discharge
0.1528,-0.005000,discharge
0.1500,-0.005000,discharge
0.1472,-0.005000,discharge
0.1444,-0.005000,discharge
0.1416,-0.005000,discharge
0.1389,-0.005000,discharge
0.1361,-0.005000,discharge
0.1333,-0.005000,discharge
0.1305,-0.005000,discharge
0.1278,-0.005000,discharge
0.1250,-0.005000,discharge
0.1222,-0.005000,discharge
0.1194,-0.005000,discharge
0.1166,-0.005000,discharge
0.1139,-0.005000,discharge
0.1111,-0.005000,discharge
0.1083,-0.005000,discharge
0.1055,-0.005000,discharge
0.1028,-0.005000,discharge
0.1000,-0.005000,discharge
0.0972,-0.005000,discharge
0.0944,-0.005000,discharge
0.0916,-0.005000,discharge
0.0889,-0.005000,discharge
0.0861,-0.005000,discharge
0.0833,-0.005000,discharge
0.0805,-0.005000,discharge
0.0778,-0.005000,discharge
0.0750,-0.005000,discharge
0.0722,-0.005000,discharge
0.0694,-0.005000,discharge
0.0666,-0.005000,discharge
0.0639,-0.005000,discharge
0.0611,-0.005000,discharge
0.0583,-0.005000,discharge
0.0555,-0.005000,discharge
0.0528,-0.005000,discharge
0.0500,-0.005000,discharge
0.0472,-0.005000,discharge
0.0444,-0.005000,discharge
0.0416,-0.005000,discharge
0.0389,-0.005000,discharge
0.0361,-0.005000,discharge
0.0333,-0.005000,discharge
0.0305,-0.005000,discharge
0.0278,-0.005000,discharge
0.0250,-0.005000,discharge
0.0222,-0.005000,discharge
0.0194,-0.005000,discharge
0.0166,-0.005000,discharge
0.0139,-0.005000,discharge
0.0111,-0.005000,discharge
0.0083,-0.005000,discharge
0.0055,-0.005000,discharge
0.0028,-0.005000,discharge
0.0000,-0.004986,charge
0.0028,-0.003697,charge
0.0056,-0.002575,charge
0.0083,-0.001597,charge
0.0111,-0.000746,charge
0.0138,-0.000004,charge
0.0166,0.000642,charge
0.0194,0.001204,charge
0.0221,0.001694,charge
0.0249,0.002121,charge
0.0277,0.002493,charge
0.0304,0.002816,charge
0.0332,0.003098,charge
0.0360,0.003344,charge
0.0387,0.003557,charge
0.0415,0.003744,charge
0.0442,0.003906,charge
0.0470,0.004047,charge
0.0498,0.004170,charge
0.0525,0.004277,charge
0.0553,0.004370,charge
0.0581,0.004452,charge
0.0608,0.004522,charge
0.0636,0.004584,charge
0.0664,0.004638,charge
0.0691,0.004685,charge
0.0719,0.004725,charge
0.0747,0.004761,charge
0.0774,0.004792,charge
0.0802,0.004818,charge
0.0829,0.004842,charge
0.0857,0.004862,charge
0.0885,0.004880,charge
0.0912,0.004896,charge
0.0940,0.004909,charge
0.0968,0.004921,charge
0.0995,0.004931,charge
0.1023,0.004940,charge
0.1051,0.004948,charge
0.1078,0.004954,charge
0.1106,0.004960,charge
0.1133,0.004965,charge
0.1161,0.004970,charge
0.1189,0.004974,charge
0.1216,0.004977,charge
0.1244,0.004980,charge
0.1272,0.004983,charge
0.1299,0.004985,charge
0.1327,0.004987,charge
0.1355,0.004989,charge
0.1382,0.004990,charge
0.1410,0.004991,charge
0.1437,0.004992,charge
0.1465,0.004993,charge
0.1493,0.004994,charge
0.1520,0.004995,charge
0.1548,0.004996,charge
0.1576,0.004996,charge
0.1603,0.004997,charge
0.1631,0.004997,charge
0.1659,0.004997,charge
0.1686,0.004998,charge
0.1714,0.004998,charge
0.1742,0.004998,charge
0.1769,0.004999,charge
0.1797,0.004999,charge
0.1824,0.004999,charge
0.1852,0.004999,charge
0.1880,0.004999,charge
0.1907,0.004999,charge
0.1935,0.004999,charge
0.1963,0.004999,charge
0.1990,0.005000,charge
0.2018,0.005000,charge
0.2046,0.005000,charge
0.2073,0.005000,charge
0.2101,0.005000,charge
0.2128,0.005000,charge
0.2156,0.005000,charge
0.2184,0.005000,charge
