plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
ecm,CDKF,kalman,evtol,init_error,1,0.0179691,0.0010299,0.0072228,0.0700536,-0.00104417,227.4,0,0.00210578,1109.43,2156,nan,nan,nan,float
ecm,GHKF,kalman,evtol,init_error,1,0.017939,0.000606305,0.00694024,0.0700544,-0.000619203,227.4,0,0.00210568,9402.95,5392,nan,nan,nan,float
ecm,IPLF,kalman,evtol,init_error,1,0.00297955,0.000437819,0.00168591,0.0107481,-0.000447705,0,0,0.00204714,1871.7,2392,nan,nan,nan,float
ecm,EIF,kalman,evtol,init_error,1,0.000870466,0.000577212,0.000621363,0.00479829,-0.000795037,0,0,0.00211753,899.626,2236,nan,nan,nan,float
ecm,SR-EKF,kalman,evtol,init_error,1,0.00094924,0.000478002,0.000672307,0.00480866,-0.000703186,0,0,0.00211757,693.533,2220,nan,nan,nan,float
ecm,SR-UKF,kalman,evtol,init_error,1,0.00116521,0.000398812,0.000586969,0.0297471,-0.000646979,0.1,0,0.00205053,1301.28,2448,nan,nan,nan,float
ecm,UD-EKF,kalman,evtol,init_error,1,0.000936772,0.000425446,0.000651686,0.0048086,-0.000584319,0,0,0.00211756,385.028,2240,nan,nan,nan,float
ecm,SO-EKF,kalman,evtol,init_error,1,0.00123503,0.000581808,0.000703733,0.03132,-0.000765413,0.1,0,0.00204086,2988.22,2252,nan,nan,nan,float
ecm,SageHusa-AKF,adaptive_kalman,evtol,init_error,1,0.00116755,0.000489166,0.000764244,0.00599998,-0.000699848,0,0,0.00211706,377.924,2408,nan,nan,nan,float
ecm,IAE-AKF,adaptive_kalman,evtol,init_error,1,0.00131548,0.000939457,0.00102326,0.00525463,-0.000987187,0,0,0.00211664,373.686,2528,nan,nan,nan,float
ecm,VB-AKF,adaptive_kalman,evtol,init_error,1,0.00100292,0.00044473,0.000688497,0.00476927,-0.000619307,0,0,0.00211673,672.695,2204,nan,nan,nan,float
ecm,STF,adaptive_kalman,evtol,init_error,1,0.002306,0.000936509,0.00144194,0.0305849,-0.000842199,0,0,0.00216269,412.033,2340,nan,nan,nan,float
ecm,Fading-EKF,adaptive_kalman,evtol,init_error,1,0.00180826,0.000559215,0.00118607,0.00556183,0.000381961,0,0,0.00211045,357.294,2192,nan,nan,nan,float
ecm,Fuzzy-AKF,adaptive_kalman,evtol,init_error,1,0.000791452,0.000581555,0.000570875,0.0048086,-0.000755355,0,0,0.00211693,579.59,2416,nan,nan,nan,float
ecm,IMM,adaptive_kalman,evtol,init_error,1,0.000710438,0.000756018,0.000622273,0.017521,-0.000909925,0,0,0.00212026,1285.94,2488,nan,nan,nan,float
ecm,MMAE,adaptive_kalman,evtol,init_error,1,0.00399614,0.00354678,0.00376561,0.00623953,-0.00150989,0,0,0.00212056,1194.6,6600,-0.00320718,nan,nan,float
ecm,Schmidt-KF,robust_kalman,evtol,init_error,1,0.00408485,0.00510801,0.00357966,0.00846016,-0.00593869,0,0,0.00444221,1070.97,4428,nan,nan,nan,float
ecm,Hinf-EKF,robust_kalman,evtol,init_error,1,0.00162529,0.000221199,0.000988387,0.00805509,-0.000299662,0,0,0.00211774,602.51,2216,nan,nan,nan,float
ecm,Huber-EKF,robust_kalman,evtol,init_error,1,0.00111467,0.000757389,0.000842183,0.00469607,-0.000903085,0,0,0.00211356,504.927,2184,nan,nan,nan,float
ecm,MC-EKF,robust_kalman,evtol,init_error,1,0.00093307,0.000484051,0.00065914,0.00457186,-0.000703007,0,0,0.00211593,746.932,2192,nan,nan,nan,float
ecm,StudentT-KF,robust_kalman,evtol,init_error,1,0.00163815,0.000346322,0.00094579,0.00571412,-0.000569642,0,0,0.00210818,524.251,2284,nan,nan,nan,float
ecm,Constrained-EKF,robust_kalman,evtol,init_error,1,0.000946549,0.000467616,0.000668261,0.0048086,-0.000681788,0,0,0.00211757,429.284,2212,nan,nan,nan,float
ecm,ReducedOrder-EKF,robust_kalman,evtol,init_error,1,0.00215294,0.000760608,0.00143887,0.0086686,0.000587434,0,0,0.00210067,327.577,2136,nan,nan,nan,float
ecm,SVSF,robust_kalman,evtol,init_error,1,0.00245731,0.000280811,0.0014026,0.00846136,-0.000486627,0,0,0.00211144,492.745,2188,nan,nan,nan,float
ecm,Luenberger,observers,evtol,init_error,1,0.0411161,0.000767189,0.0163973,0.336854,0.000592783,333.4,0,0.00527203,422.24,2328,nan,nan,nan,float
ecm,SSKF,observers,evtol,init_error,1,0.0411161,0.000767189,0.0163973,0.336854,0.000592783,333.4,0,0.00527203,352.702,2328,nan,nan,nan,float
ecm,PI-Observer,observers,evtol,init_error,1,0.0144784,0.000952586,0.00374162,0.33067,0.000645265,85.4,0,0.00548226,1380.43,2416,nan,nan,nan,float
ecm,SMO,observers,evtol,init_error,1,0.0406406,0.000798163,0.0160396,0.336824,0.000608727,323.4,0,0.00526088,417.848,2404,nan,nan,nan,float
ecm,SMO-Adaptive,observers,evtol,init_error,1,0.0395231,0.000785327,0.0155206,0.336824,0.000600636,318.5,0,0.00525551,432.372,2404,nan,nan,nan,float
ecm,SuperTwisting-SMO,observers,evtol,init_error,1,0.0516976,0.000925528,0.013407,0.349605,0.000588313,125,0,0.0364902,118.619,2144,nan,nan,nan,float
ecm,HGO,observers,evtol,init_error,1,0.0393577,0.000768329,0.0157963,0.336854,0.000592798,329.1,0,0.00562765,409.422,2348,nan,nan,nan,float
ecm,ESO,observers,evtol,init_error,1,0.0145057,0.000987605,0.00380279,0.330671,0.00062494,85.7,0,0.00547137,1449.78,2396,nan,nan,nan,float
ecm,UIO,observers,evtol,init_error,1,0.0649552,0.000710652,0.0240861,0.35,-0.000797704,360.1,0,0.00540028,454.25,2548,nan,nan,nan,float
ecm,DOB,observers,evtol,init_error,1,0.0397963,0.00242601,0.0180375,0.335252,-0.00115405,339.2,0,0.00482143,610.068,2400,nan,nan,nan,float
ecm,AdaptiveObserver,observers,evtol,init_error,1,0.0412659,0.000476762,0.0165194,0.336854,0.000294372,339.2,0,0.00526889,754.744,2436,0.0179917,nan,nan,float
ecm,IntervalObserver,observers,evtol,init_error,1,0.0411161,0.000767189,0.0163973,0.336854,0.000592783,333.4,0,0.00527203,646.336,4532,nan,0,0.297488,float
ecm,JointEKF,soh,evtol,init_error,1,0.00175046,0.000833686,0.00098934,0.00826597,0.00147781,0,0,0.00212383,1035.24,4376,0.0661937,nan,nan,float
ecm,JointUKF,soh,evtol,init_error,1,0.00737008,0.000767946,0.00310286,0.0348313,0.00134553,180,0,0.00205569,2705.45,4800,0.0662623,nan,nan,float
ecm,DualEKF,soh,evtol,init_error,1,0.000990791,0.00098547,0.000829879,0.00445443,-0.000172451,0,0,0.00211797,890.519,2376,0.0598363,nan,nan,float
ecm,DualUKF,soh,evtol,init_error,1,0.00380988,0.00156172,0.00263612,0.0297473,0.00102924,0.1,0,0.00206537,1745.08,2756,0.0491824,nan,nan,float
ecm,RLS-EKF,soh,evtol,init_error,1,0.00635786,0.00457534,0.00580913,0.0122748,0.00461103,0,0,0.00240532,372.556,4464,nan,nan,nan,float
ecm,AWTLS,soh,evtol,init_error,1,0.000891951,0.000117288,0.000515581,0.0048086,-0.000118852,0,0,0.00211755,360.145,4400,0.0330519,nan,nan,float
ecm,PF-Bootstrap,particle,evtol,init_error,1,0.00191652,0.00130316,0.00122957,0.0339427,0.00194517,2.4,0,0.002145,68760,24256,nan,nan,nan,float
ecm,PF-Fast,particle,evtol,init_error,1,0.00429864,0.00185525,0.00169214,0.11973,0.000161439,5.5,0,0.00260055,13678.7,5048,nan,nan,nan,float
ecm,PF-Regularized,particle,evtol,init_error,1,0.00185057,0.00117146,0.00131735,0.0339427,0.00015831,1.7,0,0.00213151,75840.9,24248,nan,nan,nan,float
ecm,PF-Auxiliary,particle,evtol,init_error,1,0.00396216,0.00171358,0.00220715,0.0339656,-0.000769019,10.7,0,0.00220069,90488.1,28312,nan,nan,nan,float
ecm,RBPF,particle,evtol,init_error,1,0.0244269,0.00388248,0.0139614,0.0704246,-0.00237675,323.1,0,0.00213458,31798.9,17424,nan,nan,nan,float
ecm,UPF,particle,evtol,init_error,1,0.0082975,0.00452576,0.00499114,0.160599,0.0062021,218.1,0,0.0025888,16642.8,12760,nan,nan,nan,float
ecm,EnKF,particle,evtol,init_error,1,0.0130332,0.0025039,0.00579973,0.0611517,0.00117239,222.7,0,0.00210648,7639.02,3408,nan,nan,nan,float
ecm,ETKF,particle,evtol,init_error,1,0.0187622,0.00889923,0.0136513,0.0629685,-0.00826894,249.8,0,0.0021011,8176.75,2672,nan,nan,nan,float
ecm,GSF,particle,evtol,init_error,1,0.00153081,0.000587446,0.000759591,0.0648453,-0.000785396,0.2,0,0.00208621,1217.07,4596,nan,nan,nan,float
ecm,NN-Direct,learning,evtol,init_error,1,0.00867346,0.0117023,0.00542563,0.0416333,-0.0187119,0,0,nan,494.119,7604,nan,nan,nan,float
ecm,NN-EKF,learning,evtol,init_error,1,0.00891046,0.00277427,0.00623869,0.0229481,-0.00623102,202.8,0,0.00214272,977.491,2200,nan,nan,nan,float
ecm,ELM-RLS-EKF,learning,evtol,init_error,1,0.00189819,0.000212781,0.00111044,0.00786155,-0.000313014,0,0,0.00211379,2822.13,5864,nan,nan,nan,float
ecm,MHE-RTI,optimization,evtol,init_error,1,0.00189645,0.001074,0.00140044,0.00884086,-0.00157925,0,0,0.00213957,11579.9,13472,nan,nan,nan,float
ecm,MHE,optimization,evtol,init_error,1,0.00172644,0.000758602,0.000889606,0.0103707,-0.00158572,0,0,0.00213972,21533.7,13472,nan,nan,nan,float
ecm,ERTS,smoothers,evtol,init_error,1,0.00133645,0.000406189,0.00102296,0.00299776,-0.000584602,0,0,0.000728084,603.236,6273664,nan,nan,nan,float
ecm,URTS,smoothers,evtol,init_error,1,0.00101804,0.000143794,0.000694336,0.00234759,-0.000326738,0,0,0.000740308,1592.96,6273672,nan,nan,nan,float
ecm,Batch-NLS,smoothers,evtol,init_error,1,0.00139575,0.000425921,0.00105967,0.00318134,-0.000767007,0,0,0.000727744,2867.94,8685896,nan,nan,nan,float
ecm,FixedLag-EKF,smoothers,evtol,init_error,1,0.00123139,0.000376853,0.000832422,0.00574964,-0.000526756,0,0,0.00211756,3411.63,9996,nan,nan,nan,float
ecm,CoulombCounting,baselines,evtol,current_bias,1,0.024423,0.0319764,0.0213634,0.0414021,-0.0414021,0,0,0.0280695,60.5966,2096,nan,nan,nan,float
ecm,OCVLookup,baselines,evtol,current_bias,1,0.0248515,0.0213854,0.0219298,0.0757287,0.00945428,0,0,0.0119828,1232.44,2104,nan,nan,nan,float
ecm,CoulombOCVHybrid,baselines,evtol,current_bias,1,0.0143863,0.0194427,0.0118871,0.0287512,-0.00138354,0,0,0.0185171,185.781,2104,nan,nan,nan,float
ecm,EKF,kalman,evtol,current_bias,1,0.00531134,0.00627089,0.00460987,0.0171617,-0.00828062,0,0,0.000857977,359.084,2168,nan,nan,nan,float
ecm,UKF,kalman,evtol,current_bias,1,0.00534061,0.00433425,0.00436325,0.0382106,-0.00555797,0.4,0,0.00111257,1059.09,2388,nan,nan,nan,float
ecm,LKF,kalman,evtol,current_bias,1,0.0374635,0.0136231,0.0289386,0.0716133,-0.0142836,0,0,0.00111763,293.566,2340,nan,nan,nan,float
ecm,IEKF,kalman,evtol,current_bias,1,0.00599953,0.00608932,0.00513011,0.0136549,-0.00817673,0,0,0.000854726,439.912,2168,nan,nan,nan,float
ecm,CKF,kalman,evtol,current_bias,1,0.00466577,0.00549817,0.0039589,0.0123448,-0.00753818,0,0,0.000859372,955.931,2280,nan,nan,nan,float
ecm,SCKF,kalman,evtol,current_bias,1,0.00464813,0.00546765,0.00395815,0.0123448,-0.00745255,0,0,0.000859367,1322.4,2348,nan,nan,nan,float
ecm,CKF5,kalman,evtol,current_bias,1,0.00464417,0.00550369,0.00393398,0.0128605,-0.00754668,0,0,0.000866,2820.03,2812,nan,nan,nan,float
ecm,CDKF,kalman,evtol,current_bias,1,0.00461658,0.00545207,0.00391168,0.0128573,-0.00749606,0,0,0.000865798,1103.73,2156,nan,nan,nan,float
ecm,GHKF,kalman,evtol,current_bias,1,0.00436966,0.00499645,0.00369411,0.0128583,-0.00703198,0,0,0.000863982,9323.31,5392,nan,nan,nan,float
ecm,IPLF,kalman,evtol,current_bias,1,0.00696088,0.00351348,0.00488924,0.0326482,-0.00535296,0.3,0,0.0011209,1860.77,2392,nan,nan,nan,float
ecm,EIF,kalman,evtol,current_bias,1,0.00532282,0.00626916,0.00461814,0.0171606,-0.00828378,0,0,0.000858059,885.728,2236,nan,nan,nan,float
ecm,SR-EKF,kalman,evtol,current_bias,1,0.00531201,0.00627198,0.00461043,0.0171617,-0.00827901,0,0,0.00085798,694.616,2220,nan,nan,nan,float
ecm,SR-UKF,kalman,evtol,current_bias,1,0.0051889,0.00362586,0.00402527,0.0382106,-0.00522575,0.4,0,0.00111075,1292.16,2448,nan,nan,nan,float
ecm,UD-EKF,kalman,evtol,current_bias,1,0.00530954,0.00626782,0.00460849,0.0171617,-0.00827928,0,0,0.000857965,378.207,2240,nan,nan,nan,float
ecm,SO-EKF,kalman,evtol,current_bias,1,0.00625087,0.00583403,0.00518955,0.0370501,-0.00807421,0.4,0,0.0010799,2860.14,2252,nan,nan,nan,float
ecm,SageHusa-AKF,adaptive_kalman,evtol,current_bias,1,0.00523369,0.00627356,0.0044991,0.0171617,-0.00827417,0,0,0.000859773,374.746,2408,nan,nan,nan,float
ecm,IAE-AKF,adaptive_kalman,evtol,current_bias,1,0.00529712,0.0062343,0.00459137,0.0171617,-0.00823444,0,0,0.000863619,374.764,2528,nan,nan,nan,float
ecm,VB-AKF,adaptive_kalman,evtol,current_bias,1,0.00522765,0.00626605,0.00449492,0.0171617,-0.00824976,0,0,0.000859943,641.404,2204,nan,nan,nan,float
