t,i_meas,v_meas,T_true,soc_true,soc_est,soc_std,v_pred,soc_lower,soc_upper,capacity_est,capacity_true,v_true
134,-5.06,3.65,298.607,0.237048,0.237055,-1,3.64902,nan,nan,nan,4.9975,3.64687
135,-4.94,3.646,298.61,0.237324,0.237332,-1,3.64609,nan,nan,nan,4.99749,3.64725
136,-5,3.648,298.614,0.237601,0.23761,-1,3.64836,nan,nan,nan,4.99748,3.64763
137,-5.03,3.646,298.617,0.237878,0.237888,-1,3.64907,nan,nan,nan,4.99747,3.64801
138,-5.05,3.648,298.62,0.238154,0.238166,-1,3.65018,nan,nan,nan,4.99746,3.64839
139,-4.96,3.646,298.624,0.238431,0.238442,-1,3.64878,nan,nan,nan,4.99745,3.64877
140,-5.02,3.649,298.627,0.238707,0.238717,-1,3.64984,nan,nan,nan,4.99744,3.64915
141,-4.92,3.649,298.63,0.238984,0.238994,-1,3.64963,nan,nan,nan,4.99743,3.64952
142,-4.9,3.649,298.634,0.23926,0.23927,-1,3.64953,nan,nan,nan,4.99742,3.6499
143,-5.03,3.645,298.637,0.239537,0.239545,-1,3.65123,nan,nan,nan,4.99741,3.65027
144,-4.89,3.647,298.64,0.239813,0.239822,-1,3.65014,nan,nan,nan,4.9974,3.65065
145,-4.98,3.648,298.644,0.24009,0.240097,-1,3.6509,nan,nan,nan,4.99739,3.65102
146,-5.14,3.65,298.647,0.240366,0.240374,-1,3.65382,nan,nan,nan,4.99738,3.65139
147,-5.05,3.651,298.65,0.240643,0.240653,-1,3.65311,nan,nan,nan,4.99737,3.65177
148,-5,3.653,298.654,0.240919,0.24093,-1,3.65303,nan,nan,nan,4.99736,3.65214
149,-5.02,3.655,298.657,0.241196,0.241206,-1,3.65249,nan,nan,nan,4.99735,3.65251
150,-5.05,3.65,298.66,0.241472,0.241483,-1,3.65454,nan,nan,nan,4.99734,3.65288
151,-5.07,3.654,298.664,0.241749,0.24176,-1,3.65497,nan,nan,nan,4.99733,3.65325
152,-5,3.653,298.667,0.242026,0.242038,-1,3.65419,nan,nan,nan,4.99732,3.65362
153,-5.04,3.655,298.67,0.242302,0.242315,-1,3.65504,nan,nan,nan,4.99731,3.65398
154,-5.08,3.653,298.673,0.242579,0.242592,-1,3.65552,nan,nan,nan,4.9973,3.65435
155,-5.01,3.655,298.677,0.242855,0.24287,-1,3.65582,nan,nan,nan,4.99729,3.65472
156,-4.94,3.653,298.68,0.243132,0.243146,-1,3.65502,nan,nan,nan,4.99728,3.65508
157,-5.01,3.654,298.683,0.243408,0.243421,-1,3.65584,nan,nan,nan,4.99727,3.65545
158,-5.01,3.654,298.686,0.243685,0.243698,-1,3.65626,nan,nan,nan,4.99726,3.65581
